"Story","Title","Result","Date","Stability","Duration (s)"
"Rap Name generator","User views error when try to generate rap name without entering fist name","SUCCESS","2021-05-24T01:57:52.876341-05:00[America/Chicago]","0.0","16.93"
"Rap Name generator","User can generate Rap Name with only first name","SUCCESS","2021-05-24T01:58:09.887859-05:00[America/Chicago]","0.0","24.42"
"Rap Name generator","User views New Rap Name when select nick name and submit name for male","SUCCESS","2021-05-24T01:58:34.314285-05:00[America/Chicago]","0.0","11.03"
"Rap Name generator","User views New Rap Name each time when submit name for female with last initial","SUCCESS","2021-05-24T01:58:45.349084-05:00[America/Chicago]","0.0","9.92"
